Shadowbonobo Reforge Plot Results:
intellect, crit_rating, haste_rating, mastery_rating, versatility_rating,  DPS, DPS-Error
0, 1000, 2000, -1000, -2000, 1.09791e+06, 234.336, 
0, 2000, -2000, -2000, 2000, 1.09406e+06, 361.784, 
0, 2000, -2000, -1000, 1000, 1.09715e+06, 362.315, 
0, 2000, -2000, 0, 0, 1.09942e+06, 365.03, 
0, 2000, -2000, 1000, -1000, 1.10072e+06, 365.181, 
0, 2000, -2000, 2000, -2000, 1.10103e+06, 360.136, 
0, 2000, -1000, -2000, 1000, 1.10205e+06, 291.439, 
0, 2000, -1000, -1000, 0, 1.10506e+06, 290.432, 
0, 2000, -1000, 0, -1000, 1.10687e+06, 291.735, 
0, 2000, -1000, 1000, -2000, 1.10767e+06, 289.022, 
0, 2000, 0, -2000, 0, 1.10363e+06, 250.59, 
0, 2000, 0, -1000, -1000, 1.10589e+06, 248.121, 
0, 2000, 0, 0, -2000, 1.10755e+06, 250.726, 
0, 2000, 1000, -2000, -1000, 1.1004e+06, 237.987, 
0, 2000, 1000, -1000, -2000, 1.10233e+06, 239.686, 
0, 2000, 2000, -2000, -2000, 1.096e+06, 234.305, 
1000, -2000, -2000, 1000, 2000, 1.07893e+06, 407.027, 
1000, -2000, -2000, 2000, 1000, 1.0804e+06, 406.468, 
1000, -2000, -1000, 0, 2000, 1.09014e+06, 348.006, 
1000, -2000, -1000, 1000, 1000, 1.09225e+06, 350.524, 
1000, -2000, -1000, 2000, 0, 1.09361e+06, 353.516, 
1000, -2000, 0, -1000, 2000, 1.0943e+06, 278.708, 
1000, -2000, 0, 0, 1000, 1.0971e+06, 281.183, 
1000, -2000, 0, 1000, 0, 1.09915e+06, 279.406, 
1000, -2000, 0, 2000, -1000, 1.1004e+06, 279.496, 
1000, -2000, 1000, -2000, 2000, 1.09062e+06, 241.162, 
1000, -2000, 1000, -1000, 1000, 1.09434e+06, 242.956, 
1000, -2000, 1000, 0, 0, 1.09721e+06, 242.402, 
1000, -2000, 1000, 1000, -1000, 1.09854e+06, 242.599, 
1000, -2000, 1000, 2000, -2000, 1.09923e+06, 241.471, 
1000, -2000, 2000, -2000, 1000, 1.08805e+06, 235.178, 
1000, -2000, 2000, -1000, 0, 1.09117e+06, 235.751, 
1000, -2000, 2000, 0, -1000, 1.09362e+06, 233.732, 
1000, -2000, 2000, 1000, -2000, 1.09487e+06, 233.772, 
1000, -1000, -2000, 0, 2000, 1.08297e+06, 399.34, 
1000, -1000, -2000, 1000, 1000, 1.08525e+06, 402.539, 
1000, -1000, -2000, 2000, 0, 1.08662e+06, 401.758, 
1000, -1000, -1000, -1000, 2000, 1.09245e+06, 335.351, 
1000, -1000, -1000, 0, 1000, 1.09532e+06, 335.349, 
1000, -1000, -1000, 1000, 0, 1.09749e+06, 336.378, 
1000, -1000, -1000, 2000, -1000, 1.09793e+06, 337.843, 
1000, -1000, 0, -2000, 2000, 1.09447e+06, 270.007, 
1000, -1000, 0, -1000, 1000, 1.09835e+06, 270.825, 
1000, -1000, 0, 0, 0, 1.10088e+06, 268.064, 
1000, -1000, 0, 1000, -1000, 1.10235e+06, 267.97, 
1000, -1000, 0, 2000, -2000, 1.10244e+06, 267.603, 
1000, -1000, 1000, -2000, 1000, 1.09399e+06, 241.695, 
1000, -1000, 1000, -1000, 0, 1.0971e+06, 239.604, 
1000, -1000, 1000, 0, -1000, 1.0991e+06, 240.917, 
1000, -1000, 1000, 1000, -2000, 1.1003e+06, 240.148, 
1000, -1000, 2000, -2000, 0, 1.09057e+06, 235.617, 
1000, -1000, 2000, -1000, -1000, 1.09361e+06, 236.761, 
1000, -1000, 2000, 0, -2000, 1.09505e+06, 233.44, 
1000, 0, -2000, -1000, 2000, 1.08619e+06, 388.676, 
1000, 0, -2000, 0, 1000, 1.08909e+06, 388.782, 
1000, 0, -2000, 1000, 0, 1.09066e+06, 391.292, 
1000, 0, -2000, 2000, -1000, 1.09144e+06, 390.629, 
1000, 0, -1000, -2000, 2000, 1.09413e+06, 318.471, 
1000, 0, -1000, -1000, 1000, 1.09727e+06, 320.277, 
1000, 0, -1000, 0, 0, 1.09957e+06, 321.82, 
1000, 0, -1000, 1000, -1000, 1.10122e+06, 321.128, 
1000, 0, -1000, 2000, -2000, 1.10156e+06, 317.255, 
1000, 0, 0, -2000, 1000, 1.09824e+06, 260.305, 
1000, 0, 0, -1000, 0, 1.101e+06, 261.239, 
1000, 0, 0, 0, -1000, 1.10311e+06, 260.273, 
1000, 0, 0, 1000, -2000, 1.10421e+06, 258.79, 
1000, 0, 1000, -2000, 0, 1.09626e+06, 239.015, 
1000, 0, 1000, -1000, -1000, 1.09902e+06, 240.04, 
1000, 0, 1000, 0, -2000, 1.10062e+06, 237.76, 
1000, 0, 2000, -2000, -1000, 1.09245e+06, 235.985, 
1000, 0, 2000, -1000, -2000, 1.09462e+06, 234.021, 
1000, 1000, -2000, -2000, 2000, 1.0888e+06, 375.241, 
1000, 1000, -2000, -1000, 1000, 1.09125e+06, 377.055, 
1000, 1000, -2000, 0, 0, 1.09385e+06, 376.342, 
1000, 1000, -2000, 1000, -1000, 1.09537e+06, 378.945, 
1000, 1000, -2000, 2000, -2000, 1.09534e+06, 376.888, 
1000, 1000, -1000, -2000, 1000, 1.09788e+06, 304.31, 
1000, 1000, -1000, -1000, 0, 1.10089e+06, 303.45, 
1000, 1000, -1000, 0, -1000, 1.1029e+06, 303.235, 
1000, 1000, -1000, 1000, -2000, 1.10367e+06, 304.993, 
1000, 1000, 0, -2000, 0, 1.10063e+06, 253.882, 
1000, 1000, 0, -1000, -1000, 1.10318e+06, 251.566, 
1000, 1000, 0, 0, -2000, 1.10466e+06, 253.251, 
1000, 1000, 1000, -2000, -1000, 1.09792e+06, 239.479, 
1000, 1000, 1000, -1000, -2000, 1.10009e+06, 240.733, 
1000, 1000, 2000, -2000, -2000, 1.09326e+06, 235.622, 
1000, 2000, -2000, -2000, 1000, 1.09344e+06, 361.96, 
1000, 2000, -2000, -1000, 0, 1.09632e+06, 360.905, 
1000, 2000, -2000, 0, -1000, 1.09798e+06, 363.87, 
1000, 2000, -2000, 1000, -2000, 1.09839e+06, 363.742, 
1000, 2000, -1000, -2000, 0, 1.10089e+06, 288.755, 
1000, 2000, -1000, -1000, -1000, 1.10343e+06, 288.828, 
1000, 2000, -1000, 0, -2000, 1.1047e+06, 286.925, 
1000, 2000, 0, -2000, -1000, 1.10206e+06, 249.417, 
1000, 2000, 0, -1000, -2000, 1.10374e+06, 249.999, 
1000, 2000, 1000, -2000, -2000, 1.09814e+06, 236.655, 
2000, -2000, -2000, 0, 2000, 1.07551e+06, 406.349, 
2000, -2000, -2000, 1000, 1000, 1.07756e+06, 405.901, 
2000, -2000, -2000, 2000, 0, 1.07898e+06, 407.427, 
2000, -2000, -1000, -1000, 2000, 1.08598e+06, 348.285, 
2000, -2000, -1000, 0, 1000, 1.08874e+06, 350.338, 
2000, -2000, -1000, 1000, 0, 1.09055e+06, 353.354, 
2000, -2000, -1000, 2000, -1000, 1.09161e+06, 350.869, 
2000, -2000, 0, -2000, 2000, 1.08928e+06, 277.944, 
2000, -2000, 0, -1000, 1000, 1.09298e+06, 276.321, 
2000, -2000, 0, 0, 0, 1.09541e+06, 279.75, 
2000, -2000, 0, 1000, -1000, 1.09715e+06, 277.747, 
2000, -2000, 0, 2000, -2000, 1.09774e+06, 276.889, 
2000, -2000, 1000, -2000, 1000, 1.08944e+06, 241.896, 
2000, -2000, 1000, -1000, 0, 1.09257e+06, 242.711, 
2000, -2000, 1000, 0, -1000, 1.095e+06, 241.234, 
2000, -2000, 1000, 1000, -2000, 1.09594e+06, 240.692, 
2000, -2000, 2000, -2000, 0, 1.08636e+06, 231.956, 
2000, -2000, 2000, -1000, -1000, 1.08943e+06, 235.094, 
2000, -2000, 2000, 0, -2000, 1.09119e+06, 232.188, 
2000, -1000, -2000, -1000, 2000, 1.07933e+06, 400.207, 
2000, -1000, -2000, 0, 1000, 1.08169e+06, 400.536, 
2000, -1000, -2000, 1000, 0, 1.08367e+06, 399.961, 
2000, -1000, -2000, 2000, -1000, 1.08439e+06, 400.342, 
2000, -1000, -1000, -2000, 2000, 1.08788e+06, 333.72, 
2000, -1000, -1000, -1000, 1000, 1.09149e+06, 335.632, 
2000, -1000, -1000, 0, 0, 1.09377e+06, 333.475, 
2000, -1000, -1000, 1000, -1000, 1.09517e+06, 334.875, 
2000, -1000, -1000, 2000, -2000, 1.09571e+06, 335.235, 
2000, -1000, 0, -2000, 1000, 1.0937e+06, 266.726, 
2000, -1000, 0, -1000, 0, 1.09677e+06, 268.153, 
2000, -1000, 0, 0, -1000, 1.09868e+06, 268.055, 
2000, -1000, 0, 1000, -2000, 1.09971e+06, 267.022, 
2000, -1000, 1000, -2000, 0, 1.09223e+06, 239.001, 
2000, -1000, 1000, -1000, -1000, 1.09502e+06, 239.808, 
2000, -1000, 1000, 0, -2000, 1.09674e+06, 241.077, 
2000, -1000, 2000, -2000, -1000, 1.0884e+06, 233.118, 
2000, -1000, 2000, -1000, -2000, 1.09104e+06, 234.065, 
2000, 0, -2000, -2000, 2000, 1.08243e+06, 388.719, 
2000, 0, -2000, -1000, 1000, 1.08558e+06, 389.148, 
2000, 0, -2000, 0, 0, 1.08743e+06, 390.199, 
2000, 0, -2000, 1000, -1000, 1.08881e+06, 389.074, 
2000, 0, -2000, 2000, -2000, 1.08873e+06, 388.975, 
2000, 0, -1000, -2000, 1000, 1.09291e+06, 317.016, 
2000, 0, -1000, -1000, 0, 1.09583e+06, 320.564, 
2000, 0, -1000, 0, -1000, 1.09723e+06, 317.477, 
2000, 0, -1000, 1000, -2000, 1.09859e+06, 320.936, 
2000, 0, 0, -2000, 0, 1.09664e+06, 258.727, 
2000, 0, 0, -1000, -1000, 1.09908e+06, 258.549, 
2000, 0, 0, 0, -2000, 1.10089e+06, 256.173, 
2000, 0, 1000, -2000, -1000, 1.09431e+06, 240.503, 
2000, 0, 1000, -1000, -2000, 1.09637e+06, 238.45, 
2000, 0, 2000, -2000, -2000, 1.08987e+06, 234.62, 
2000, 1000, -2000, -2000, 1000, 1.08774e+06, 376.142, 
2000, 1000, -2000, -1000, 0, 1.09032e+06, 377.883, 
2000, 1000, -2000, 0, -1000, 1.09223e+06, 378.206, 
2000, 1000, -2000, 1000, -2000, 1.09267e+06, 375.787, 
2000, 1000, -1000, -2000, 0, 1.09633e+06, 300.846, 
2000, 1000, -1000, -1000, -1000, 1.09882e+06, 300.574, 
2000, 1000, -1000, 0, -2000, 1.10012e+06, 302.186, 
2000, 1000, 0, -2000, -1000, 1.09829e+06, 253.13, 
2000, 1000, 0, -1000, -2000, 1.10055e+06, 252.886, 
2000, 1000, 1000, -2000, -2000, 1.09514e+06, 236.54, 
2000, 2000, -2000, -2000, 0, 1.09183e+06, 356.282, 
2000, 2000, -2000, -1000, -1000, 1.09378e+06, 364.429, 
2000, 2000, -2000, 0, -2000, 1.09552e+06, 358.5, 
2000, 2000, -1000, -2000, -1000, 1.09902e+06, 288.593, 
2000, 2000, -1000, -1000, -2000, 1.10088e+06, 286.34, 
2000, 2000, 0, -2000, -2000, 1.09943e+06, 247.267, 
